obs_id,dataset,group_id,session_id,trial_id,window_id,dyad_id,condition,null_task,label,feature_set,K,f001,f002,f003,f004
G00_R000,demo_primary,G00,S01,0,feedback,pair23,real,time_shift,1,raw_topk,4,0.7023065680990034,0.5646810019382194,0.3843389012592374,0.4927141619854168
G00_N000,demo_primary,G00,S01,0,feedback,pair23,null,time_shift,0,raw_topk,4,-0.23834968037789253,0.5502872467577774,0.30430531512372977,0.37462062377338134
G00_R001,demo_primary,G00,S01,1,feedback,pair23,real,time_shift,1,raw_topk,4,0.565268210505138,0.30961456458971315,0.6319879655833622,0.22289661593644983
G00_N001,demo_primary,G00,S01,1,feedback,pair23,null,time_shift,0,raw_topk,4,-0.14318082203166232,0.5196014885176714,0.4441622917314046,0.553956024832247
G00_R002,demo_primary,G00,S01,2,feedback,pair23,real,time_shift,1,raw_topk,4,0.12402390135970834,0.7340954566778535,0.9232669931588168,0.39910738791938816
G00_N002,demo_primary,G00,S01,2,feedback,pair23,null,time_shift,0,raw_topk,4,0.40530731021643995,0.09075327177128961,0.6938919972569673,0.4581023826128597
G00_R003,demo_primary,G00,S01,3,feedback,pair23,real,time_shift,1,raw_topk,4,-0.0454681138237866,0.2217723539993698,0.5225197602819844,0.6087962195696983
G00_N003,demo_primary,G00,S01,3,feedback,pair23,null,time_shift,0,raw_topk,4,0.049001829687656207,0.34935004557719207,0.6672848262072503,0.2588865231913477
G00_R004,demo_primary,G00,S01,4,feedback,pair23,real,time_shift,1,raw_topk,4,0.349470155761068,0.7338232721413234,0.9525504429771323,0.5515690848383279
G00_N004,demo_primary,G00,S01,4,feedback,pair23,null,time_shift,0,raw_topk,4,0.5112680291725368,0.5507524337580656,0.6991273925708803,0.7466683492886154
G00_R005,demo_primary,G00,S01,5,feedback,pair23,real,time_shift,1,raw_topk,4,0.6732934764086437,0.28639007712539244,0.9209704156727021,0.2905429822898535
G00_N005,demo_primary,G00,S01,5,feedback,pair23,null,time_shift,0,raw_topk,4,0.2799649391506167,0.3598170342604393,0.32010677791655834,0.30848544140034445
G00_R006,demo_primary,G00,S01,6,feedback,pair23,real,time_shift,1,raw_topk,4,0.13962325298155595,0.5108444707290554,0.8976957997812951,0.5186828615706919
G00_N006,demo_primary,G00,S01,6,feedback,pair23,null,time_shift,0,raw_topk,4,0.4590377825975066,0.5898146416772267,0.4481457438096979,0.6461192890902901
G00_R007,demo_primary,G00,S01,7,feedback,pair23,real,time_shift,1,raw_topk,4,0.2642940839049651,0.2454284904251957,0.8612593240829601,0.6761359224867172
G00_N007,demo_primary,G00,S01,7,feedback,pair23,null,time_shift,0,raw_topk,4,0.35450882398518624,0.25558970578871176,0.24337216711331677,0.47777558750874216
G00_R008,demo_primary,G00,S01,8,feedback,pair23,real,time_shift,1,raw_topk,4,0.4934903635033928,0.5595464454884387,0.9829187910443452,0.6294664285516416
G00_N008,demo_primary,G00,S01,8,feedback,pair23,null,time_shift,0,raw_topk,4,0.5259951395379994,0.7125352791936529,0.20870933676602477,0.38172481764843685
G00_R009,demo_primary,G00,S01,9,feedback,pair23,real,time_shift,1,raw_topk,4,0.10634406693527707,0.23422831851512205,0.8828785527061742,0.6900829727763413
G00_N009,demo_primary,G00,S01,9,feedback,pair23,null,time_shift,0,raw_topk,4,0.3125230706107742,0.3347484087260939,0.2788645029215402,0.7374746074594942
G00_R010,demo_primary,G00,S01,10,feedback,pair23,real,time_shift,1,raw_topk,4,0.13515983227068876,0.0999296990884041,0.8516848328991267,0.8487961467768692
G00_N010,demo_primary,G00,S01,10,feedback,pair23,null,time_shift,0,raw_topk,4,0.4178213992341554,0.5465285074062947,0.9342525881699564,0.4942267654245455
G00_R011,demo_primary,G00,S01,11,feedback,pair23,real,time_shift,1,raw_topk,4,0.5346876004659701,0.4804137981167463,0.44181093999833154,0.584049456330849
G00_N011,demo_primary,G00,S01,11,feedback,pair23,null,time_shift,0,raw_topk,4,0.42974070815651055,0.41491835425603407,0.2293225018840076,0.5371318439271722
G01_R000,demo_primary,G01,S01,0,feedback,pair23,real,time_shift,1,raw_topk,4,0.7879894545839377,0.35284456707909784,0.22152868134951073,0.7705940588105594
G01_N000,demo_primary,G01,S01,0,feedback,pair23,null,time_shift,0,raw_topk,4,0.8687907575881739,0.3696778524963658,0.4610252264351476,0.7814195575230296
G01_R001,demo_primary,G01,S01,1,feedback,pair23,real,time_shift,1,raw_topk,4,0.8364589210636001,0.7056969714129547,0.8525387256325623,0.4324649173861177
G01_N001,demo_primary,G01,S01,1,feedback,pair23,null,time_shift,0,raw_topk,4,0.6499320839223206,0.44613061501409706,0.3649553992416452,0.4270355729237063
G01_R002,demo_primary,G01,S01,2,feedback,pair23,real,time_shift,1,raw_topk,4,0.5689956410103589,0.37265356562933966,0.3824150461415196,0.6250737188580487
G01_N002,demo_primary,G01,S01,2,feedback,pair23,null,time_shift,0,raw_topk,4,0.2963600391543814,0.5792722184723557,0.6565643753630879,0.6584258384660818
G01_R003,demo_primary,G01,S01,3,feedback,pair23,real,time_shift,1,raw_topk,4,0.5890811054895246,0.6551985688537769,0.6404984755545144,0.6530264734445941
G01_N003,demo_primary,G01,S01,3,feedback,pair23,null,time_shift,0,raw_topk,4,0.6481779173633345,0.06665098087299012,0.33962494646645236,0.0759128912544336
G01_R004,demo_primary,G01,S01,4,feedback,pair23,real,time_shift,1,raw_topk,4,0.600570434859619,0.5193404484550252,0.7943158867619883,0.6812208722640982
G01_N004,demo_primary,G01,S01,4,feedback,pair23,null,time_shift,0,raw_topk,4,0.6783919245397809,0.4901251625307631,0.6088213312461427,0.02722704969737476
G01_R005,demo_primary,G01,S01,5,feedback,pair23,real,time_shift,1,raw_topk,4,0.51999584813509,0.31167987947626286,0.04582191772912278,0.6464481895185704
G01_N005,demo_primary,G01,S01,5,feedback,pair23,null,time_shift,0,raw_topk,4,0.6594881628071136,0.6725230206531541,0.36322420054451743,0.8666099405636739
G01_R006,demo_primary,G01,S01,6,feedback,pair23,real,time_shift,1,raw_topk,4,0.6367483020201473,0.36772389970655367,0.7242733612693879,0.6559371004241707
G01_N006,demo_primary,G01,S01,6,feedback,pair23,null,time_shift,0,raw_topk,4,0.4333947111823129,0.6600901872378019,0.2797081466243156,0.5116194242669417
G01_R007,demo_primary,G01,S01,7,feedback,pair23,real,time_shift,1,raw_topk,4,0.9326848074761734,0.8483634171863815,0.8954617259479835,0.7948057624203522
G01_N007,demo_primary,G01,S01,7,feedback,pair23,null,time_shift,0,raw_topk,4,0.5452056032106847,0.409765566010609,0.5142317108922497,0.38356509597744937
G01_R008,demo_primary,G01,S01,8,feedback,pair23,real,time_shift,1,raw_topk,4,0.4173402251808932,0.732724009884638,0.4790446977493908,0.6889862519985108
G01_N008,demo_primary,G01,S01,8,feedback,pair23,null,time_shift,0,raw_topk,4,0.262483869191616,0.4414719515397187,0.48875675819196673,0.4348323395310619
G01_R009,demo_primary,G01,S01,9,feedback,pair23,real,time_shift,1,raw_topk,4,0.7944274724696925,0.756966581604259,0.8672090135601098,0.6908159891626138
G01_N009,demo_primary,G01,S01,9,feedback,pair23,null,time_shift,0,raw_topk,4,0.6034743568300467,0.22198644502451897,0.7905667974904265,0.365354482473746
G01_R010,demo_primary,G01,S01,10,feedback,pair23,real,time_shift,1,raw_topk,4,0.8579796678806982,0.2544427621217547,0.667730091810106,0.5314448825901041
G01_N010,demo_primary,G01,S01,10,feedback,pair23,null,time_shift,0,raw_topk,4,0.43611688845736163,0.3635610958435594,0.2894632155478534,0.7093580728405745
G01_R011,demo_primary,G01,S01,11,feedback,pair23,real,time_shift,1,raw_topk,4,0.7290737457185118,0.5271691089471477,0.753276450603612,0.5669515377175883
G01_N011,demo_primary,G01,S01,11,feedback,pair23,null,time_shift,0,raw_topk,4,0.1194957462816662,0.6040195415325181,0.4374319034747326,0.6372138753482387
G02_R000,demo_primary,G02,S01,0,feedback,pair23,real,time_shift,1,raw_topk,4,0.3248901357956872,0.8405899146362892,0.43020974991429123,0.41457280027577126
