obs_id,dataset,group_id,session_id,trial_id,window_id,dyad_id,condition,null_task,label,feature_set,K,f001,f002,f003,f004,f005,f006
G00_R000,demo_primary,G00,S01,0,feedback,pair23,real,time_shift,1,raw_topk,6,0.38096870448938525,0.9244008472889702,0.6543814361640273,0.8332799357525024,0.47283156300794416,0.2845679108844432
G00_N000,demo_primary,G00,S01,0,feedback,pair23,null,time_shift,0,raw_topk,6,0.332183200225207,0.6710727947501909,0.42384070248139694,0.540361464784127,0.540740878309319,0.19944190732787137
G00_R001,demo_primary,G00,S01,1,feedback,pair23,real,time_shift,1,raw_topk,6,0.4935851187095175,0.4990584281268056,0.4217899373118301,0.8438491927468126,0.5745373484622998,0.6284034041827258
G00_N001,demo_primary,G00,S01,1,feedback,pair23,null,time_shift,0,raw_topk,6,0.3752604658643175,0.7707844730801738,0.7272507505713603,0.5689026321967137,0.4993141673261779,0.5609693455926648
G00_R002,demo_primary,G00,S01,2,feedback,pair23,real,time_shift,1,raw_topk,6,0.4941068920796454,0.8898914510700693,0.6998666066306065,0.8096897625375093,0.6905184798367305,0.3797953562702293
G00_N002,demo_primary,G00,S01,2,feedback,pair23,null,time_shift,0,raw_topk,6,0.4981273475931177,0.3710842815316618,0.22739922205682778,0.9797915036543272,0.4794368321159535,0.29375587579258966
G00_R003,demo_primary,G00,S01,3,feedback,pair23,real,time_shift,1,raw_topk,6,0.7518133879459176,0.4867054612750259,0.587425129008722,0.6738648836239893,0.6473992272335173,0.25230310931339084
G00_N003,demo_primary,G00,S01,3,feedback,pair23,null,time_shift,0,raw_topk,6,0.3438675975031523,0.06833201998686862,0.3013338530576564,0.4211886400835641,0.2651652673588596,0.30674836394466254
G00_R004,demo_primary,G00,S01,4,feedback,pair23,real,time_shift,1,raw_topk,6,0.34960481085312456,0.6311368384367104,0.8444025373841747,0.8759289314836866,0.7037449493308291,0.3069951179426319
G00_N004,demo_primary,G00,S01,4,feedback,pair23,null,time_shift,0,raw_topk,6,0.3708465339252518,0.5240259219407846,0.6227446005420679,0.5158870240309467,0.44778862368080613,0.4485014383011939
G00_R005,demo_primary,G00,S01,5,feedback,pair23,real,time_shift,1,raw_topk,6,0.375603709385985,0.5512261038750619,0.666828357007787,1.3018335756957495,0.5010925463597723,0.24722233478351466
G00_N005,demo_primary,G00,S01,5,feedback,pair23,null,time_shift,0,raw_topk,6,0.300541252399538,0.6020049276989222,0.33350762979124043,0.44226073961639617,0.812784587131844,0.2511715681702864
G00_R006,demo_primary,G00,S01,6,feedback,pair23,real,time_shift,1,raw_topk,6,0.34091906429165264,0.6091249948071698,0.751327023018832,0.7359831302836071,1.1472423951045732,0.4744343530048991
G00_N006,demo_primary,G00,S01,6,feedback,pair23,null,time_shift,0,raw_topk,6,0.5641708682413065,0.6900804014113407,0.501581270139854,0.5453429096234548,0.5850365406925484,0.521959641416981
G00_R007,demo_primary,G00,S01,7,feedback,pair23,real,time_shift,1,raw_topk,6,0.529348597377955,0.7650259631198157,0.8134690608430488,0.6626615089214931,0.929801732776598,0.5571069739934312
G00_N007,demo_primary,G00,S01,7,feedback,pair23,null,time_shift,0,raw_topk,6,0.3009390164264465,0.5457823414323836,0.6606005853202432,0.552532310244721,0.696247150357798,0.31149660906721205
G00_R008,demo_primary,G00,S01,8,feedback,pair23,real,time_shift,1,raw_topk,6,0.19686168996620354,0.7006382688113708,0.8202582091552016,0.9281334203912338,0.7557184133328382,0.30813931111846515
G00_N008,demo_primary,G00,S01,8,feedback,pair23,null,time_shift,0,raw_topk,6,0.26867424218664404,0.47151363888760695,0.6392552069615492,0.39356848536764205,0.41489898454237434,0.3647035172070985
G00_R009,demo_primary,G00,S01,9,feedback,pair23,real,time_shift,1,raw_topk,6,0.15727391677343375,0.4515929657350058,0.4274169035059826,0.8463470853277518,0.8679470453060817,0.6259915101917005
G00_N009,demo_primary,G00,S01,9,feedback,pair23,null,time_shift,0,raw_topk,6,0.44347893064332755,0.3175953263131415,0.6852064394101255,0.42556232684290696,0.6499767250171062,0.45242241181511783
G00_R010,demo_primary,G00,S01,10,feedback,pair23,real,time_shift,1,raw_topk,6,0.3510864924465259,0.6892418019720521,0.7144065423993229,0.8490206302210064,0.5987605028245508,0.2397088289113821
G00_N010,demo_primary,G00,S01,10,feedback,pair23,null,time_shift,0,raw_topk,6,0.4151271735482883,0.40454012779843973,0.4798331311908325,0.6479727728394147,0.6300786167372383,0.09679654332466396
G00_R011,demo_primary,G00,S01,11,feedback,pair23,real,time_shift,1,raw_topk,6,0.191610100255154,0.6049253920699328,0.9535520336652904,0.5009313121847212,0.6950032006502986,0.6170736450219507
G00_N011,demo_primary,G00,S01,11,feedback,pair23,null,time_shift,0,raw_topk,6,0.14104360800729596,0.3749753968983552,0.5073521757104641,0.4712733061165874,0.4848130345995889,0.4344768002755543
G01_R000,demo_primary,G01,S01,0,feedback,pair23,real,time_shift,1,raw_topk,6,0.5465162090736607,0.6303706959080074,0.6354887396676242,0.7188455467252279,0.13672845735864225,0.9182156838843623
G01_N000,demo_primary,G01,S01,0,feedback,pair23,null,time_shift,0,raw_topk,6,0.4606058726260444,0.5667848839643318,0.11495904919413463,0.5002479469813458,0.4894391225323854,0.6769572801560874
G01_R001,demo_primary,G01,S01,1,feedback,pair23,real,time_shift,1,raw_topk,6,0.35729629519318706,0.5173303543790644,0.19789888012749368,0.5896527652859188,0.8187606471510895,0.9168069326235726
G01_N001,demo_primary,G01,S01,1,feedback,pair23,null,time_shift,0,raw_topk,6,0.26527658525277076,0.27590020429996204,0.6751119440292529,0.7160815394243094,0.3788702908994331,0.3007568606417081
G01_R002,demo_primary,G01,S01,2,feedback,pair23,real,time_shift,1,raw_topk,6,0.7462580310541963,0.5323427087681878,0.20218513440708202,0.7044643802090517,0.5884510917895639,0.6731173918337297
G01_N002,demo_primary,G01,S01,2,feedback,pair23,null,time_shift,0,raw_topk,6,0.12485137804877693,0.7003187697745762,0.4203061021489871,0.364112479892328,0.2604727686026564,0.42321220048128927
G01_R003,demo_primary,G01,S01,3,feedback,pair23,real,time_shift,1,raw_topk,6,0.3557026462458548,0.7487167274277506,0.7665105500108935,0.8343224019162354,0.56179442305845,0.5590962455923261
G01_N003,demo_primary,G01,S01,3,feedback,pair23,null,time_shift,0,raw_topk,6,0.29398418165938905,0.3491204021103816,0.16625797521217245,0.43561651243759336,0.4752613021020662,0.5418949874888064
G01_R004,demo_primary,G01,S01,4,feedback,pair23,real,time_shift,1,raw_topk,6,0.29563592884411216,0.525469397695322,0.3148740069065335,0.9597400059316928,0.7103939652256591,0.7440726929219892
G01_N004,demo_primary,G01,S01,4,feedback,pair23,null,time_shift,0,raw_topk,6,0.1708303040373617,0.3437433705655836,0.562637882020463,0.6981492846650742,0.5138724984944353,0.7679566982435866
G01_R005,demo_primary,G01,S01,5,feedback,pair23,real,time_shift,1,raw_topk,6,0.6936550241698138,1.084754976361703,0.41198067322309867,0.5838222832886092,0.26567216880088806,0.7078361515227176
G01_N005,demo_primary,G01,S01,5,feedback,pair23,null,time_shift,0,raw_topk,6,0.2525157140730451,0.8877347240770542,0.5945897594638238,0.23180529477157036,0.4935769002281717,0.4163275031929118
G01_R006,demo_primary,G01,S01,6,feedback,pair23,real,time_shift,1,raw_topk,6,0.5236103877191971,0.7147160657154494,0.492524945666262,0.5595814854126943,0.4955956115334028,0.6682137178453643
G01_N006,demo_primary,G01,S01,6,feedback,pair23,null,time_shift,0,raw_topk,6,0.13646024603131884,0.3044428523539285,0.3822516068378221,0.5707853014143958,0.22743657066897183,0.8657062570301843
G01_R007,demo_primary,G01,S01,7,feedback,pair23,real,time_shift,1,raw_topk,6,0.3879698379825216,0.4238801322022376,0.3896488458826692,1.146048166814176,0.5011774557314098,0.8595137169126521
G01_N007,demo_primary,G01,S01,7,feedback,pair23,null,time_shift,0,raw_topk,6,0.5134130073562152,0.7352035141858796,0.541055560734341,0.7254758367535034,0.32426235054757796,0.5451214175473642
G01_R008,demo_primary,G01,S01,8,feedback,pair23,real,time_shift,1,raw_topk,6,0.4380322883002248,0.9708000291602574,0.5007345552137409,0.6003427327053645,0.6128688401291974,1.0044009430921172
G01_N008,demo_primary,G01,S01,8,feedback,pair23,null,time_shift,0,raw_topk,6,0.255698966859667,0.16492355507484174,0.256292943453294,0.655501608634011,0.4494180707500516,0.3817000038300789
G01_R009,demo_primary,G01,S01,9,feedback,pair23,real,time_shift,1,raw_topk,6,0.5759928462928886,0.8039325619125255,0.753719579846031,0.6043928681202657,0.6876946007839587,0.6737058696362583
G01_N009,demo_primary,G01,S01,9,feedback,pair23,null,time_shift,0,raw_topk,6,0.044563228309348876,0.5557724045314725,0.12813764046968437,0.1924215117592949,0.26880348441022606,0.37070269425876523
G01_R010,demo_primary,G01,S01,10,feedback,pair23,real,time_shift,1,raw_topk,6,0.3581200924434572,0.6734204179961367,0.2621985503651434,0.6704493779349262,0.7367647541577474,0.8480076005838024
G01_N010,demo_primary,G01,S01,10,feedback,pair23,null,time_shift,0,raw_topk,6,0.47666922801680683,0.1458975003386926,0.4148383469800556,0.3441905459243726,0.33854750732223665,0.5127572093778763
G01_R011,demo_primary,G01,S01,11,feedback,pair23,real,time_shift,1,raw_topk,6,0.5121845662921682,0.7423690284027822,0.5607690954301175,0.9609291378396041,0.7315754242655046,1.1084559991944238
G01_N011,demo_primary,G01,S01,11,feedback,pair23,null,time_shift,0,raw_topk,6,0.6228662838994558,0.6206751171386219,0.4554732748047722,0.33499241369299904,0.3091596901983094,0.5512693961942746
G02_R000,demo_primary,G02,S01,0,feedback,pair23,real,time_shift,1,raw_topk,6,-0.0817536088647647,0.8326160387579297,0.7490608364030602,1.012168539124957,0.6751099749561995,0.6925228185863367
G02_N000,demo_primary,G02,S01,0,feedback,pair23,null,time_shift,0,raw_topk,6,0.608192053287409,0.6870157276870396,0.4946769369858912,0.7249264054247593,0.35649914790587395,0.22051613798442887
