obs_id,dataset,group_id,session_id,trial_id,window_id,dyad_id,condition,null_task,label,feature_set,K,f001,f002,f003,f004
G00_R000,demo_primary,G00,S01,0,feedback,pair23,real,time_shift,1,raw_topk,4,0.7023065680990034,0.5646810019382194,0.3843389012592374,0.4927141619854168
G00_R001,demo_primary,G00,S01,1,feedback,pair23,real,time_shift,1,raw_topk,4,0.565268210505138,0.3096145645897131,0.6319879655833622,0.2228966159364498
G00_R002,demo_primary,G00,S01,2,feedback,pair23,real,time_shift,1,raw_topk,4,0.1240239013597083,0.7340954566778535,0.9232669931588168,0.3991073879193881
G00_N000,demo_primary,G00,S01,0,feedback,pair23,,time_shift,0,raw_topk,4,-0.2383496803778925,0.5502872467577774,0.3043053151237297,0.3746206237733813
G00_N001,demo_primary,G00,S01,1,feedback,pair23,,time_shift,0,raw_topk,4,-0.1431808220316623,0.5196014885176714,0.4441622917314046,0.553956024832247
G00_N002,demo_primary,G00,S01,2,feedback,pair23,,time_shift,0,raw_topk,4,0.4053073102164399,0.0907532717712896,0.6938919972569673,0.4581023826128597
G01_R000,demo_primary,G01,S01,0,feedback,pair23,real,time_shift,1,raw_topk,4,0.7879894545839377,0.3528445670790978,0.2215286813495107,0.7705940588105594
G01_R001,demo_primary,G01,S01,1,feedback,pair23,real,time_shift,1,raw_topk,4,0.8364589210636001,0.7056969714129547,0.8525387256325623,0.4324649173861177
G01_R002,demo_primary,G01,S01,2,feedback,pair23,real,time_shift,1,raw_topk,4,0.5689956410103589,0.3726535656293396,0.3824150461415196,0.6250737188580487
G01_N000,demo_primary,G01,S01,0,feedback,pair23,,time_shift,0,raw_topk,4,0.8687907575881739,0.3696778524963658,0.4610252264351476,0.7814195575230296
G01_N001,demo_primary,G01,S01,1,feedback,pair23,,time_shift,0,raw_topk,4,0.6499320839223206,0.446130615014097,0.3649553992416452,0.4270355729237063
G01_N002,demo_primary,G01,S01,2,feedback,pair23,,time_shift,0,raw_topk,4,0.2963600391543814,0.5792722184723557,0.6565643753630879,0.6584258384660818
G02_R000,demo_primary,G02,S01,0,feedback,pair23,real,time_shift,1,raw_topk,4,0.3248901357956872,0.8405899146362892,0.4302097499142912,0.4145728002757712
G02_R001,demo_primary,G02,S01,1,feedback,pair23,real,time_shift,1,raw_topk,4,0.4129702975100247,0.9017890698038494,0.637301211734175,0.514970926383029
G02_R002,demo_primary,G02,S01,2,feedback,pair23,real,time_shift,1,raw_topk,4,0.7175840080822915,0.8163128244203869,0.4918736509102993,0.6166386591978985
G02_N000,demo_primary,G02,S01,0,feedback,pair23,,time_shift,0,raw_topk,4,0.3278103420530904,0.5144820999974974,0.3175208255831868,0.591656056042712
G02_N001,demo_primary,G02,S01,1,feedback,pair23,,time_shift,0,raw_topk,4,0.6367010016977713,0.6185348234921753,0.1815717699436946,0.5879281874726299
G02_N002,demo_primary,G02,S01,2,feedback,pair23,,time_shift,0,raw_topk,4,0.4577087244064749,0.7147687835744859,0.4349715075675889,0.3983732047064432
G03_R000,demo_primary,G03,S01,0,feedback,pair23,real,time_shift,1,raw_topk,4,0.7811223050270802,0.4903756478454329,0.5371643657435421,0.7036913745129023
G03_R001,demo_primary,G03,S01,1,feedback,pair23,real,time_shift,1,raw_topk,4,0.7329285380494215,0.1002545297451661,0.548990393296447,0.6982925650049888
G03_R002,demo_primary,G03,S01,2,feedback,pair23,real,time_shift,1,raw_topk,4,0.3659960048052862,0.2357605303613274,0.7328578530901825,0.7077560991931267
G03_N000,demo_primary,G03,S01,0,feedback,pair23,,time_shift,0,raw_topk,4,0.3620016938474767,0.3394576833216871,0.5652008335901366,0.307559140454427
G03_N001,demo_primary,G03,S01,1,feedback,pair23,,time_shift,0,raw_topk,4,0.4777594164571763,0.8354037304885553,0.9267743305527282,0.3737156121328584
G03_N002,demo_primary,G03,S01,2,feedback,pair23,,time_shift,0,raw_topk,4,0.3404128783271162,0.1724244747489462,0.7863607390629883,0.6144893541862594
