obs_id,dataset,group_id,session_id,trial_id,window_id,dyad_id,condition,null_task,label,feature_set,K,f001,f002,f003,f004,f005,f006,f007,f008
G00_R000,demo_primary,G00,S01,0,feedback,pair23,real,time_shift,1,raw_topk,8,0.679699564678404,0.8526479383034885,0.2239676570815696,0.3233574016514812,0.9879721630724037,0.1902231440723535,0.7798516241588618,0.3192558724451074
G00_R001,demo_primary,G00,S01,1,feedback,pair23,real,time_shift,1,raw_topk,8,0.7783768661517392,1.1740404150036172,0.6475320318222407,0.4766288263079994,0.6599560989039662,0.3934464765341685,0.7350648676188767,0.2049605653998112
G00_R002,demo_primary,G00,S01,2,feedback,pair23,real,time_shift,1,raw_topk,8,0.2946889457856962,1.0097625569812403,0.9389421127774666,0.5021069336950468,0.8644166195322428,0.2405767173027188,0.5974564239175577,0.0267856442710704
G00_N000,demo_primary,G00,S01,0,feedback,pair23,,time_shift,0,raw_topk,8,0.4601518271388228,0.8474892116284388,0.4903777264780545,0.568974027255127,0.4093264807879986,0.2374490388505238,0.3849611998901579,0.2929629221502717
G00_N001,demo_primary,G00,S01,1,feedback,pair23,,time_shift,0,raw_topk,8,0.4441089226584313,0.9240040168898914,0.6700649764634469,0.1612998793633413,0.5118988728352347,0.2073412289106849,0.4652128034160783,0.8360448717539208
G00_N002,demo_primary,G00,S01,2,feedback,pair23,,time_shift,0,raw_topk,8,0.5618417524700176,0.3384221799066476,0.6145821714741766,0.3624446875839651,0.7475053329438346,0.1605453029742307,0.6349362854682629,0.1308966548351557
G01_R000,demo_primary,G01,S01,0,feedback,pair23,real,time_shift,1,raw_topk,8,0.2907229314959409,0.5228353647571516,0.4339303778726759,0.4513254264501403,0.5459337545555237,0.584637529871254,0.7867949237168677,0.770481359790717
G01_R001,demo_primary,G01,S01,1,feedback,pair23,real,time_shift,1,raw_topk,8,0.7076637814302195,0.5467085997019634,0.3556678954827357,0.8365948701069487,0.6107812403183871,0.8920655363284585,0.9358350185620966,0.6982364785659836
G01_R002,demo_primary,G01,S01,2,feedback,pair23,real,time_shift,1,raw_topk,8,0.7945174195728034,0.4813469484662956,0.6081985083716304,0.4962145541455507,0.799801993866905,0.403433082518245,0.980056570273962,0.705916098263293
G01_N000,demo_primary,G01,S01,0,feedback,pair23,,time_shift,0,raw_topk,8,0.7835359474671605,0.213586526371348,0.2973669158807661,0.3879908231974631,0.5527654042211417,0.6497103095454042,0.898553340116499,0.4864765279639869
G01_N001,demo_primary,G01,S01,1,feedback,pair23,,time_shift,0,raw_topk,8,0.6504153680168603,0.1695081765167131,0.3734399223766048,0.3071419438041601,0.3666080001215618,0.4776477104644924,0.6662139913786274,0.7381708427343225
G01_N002,demo_primary,G01,S01,2,feedback,pair23,,time_shift,0,raw_topk,8,0.434454561059566,0.1554146841150657,0.4726768973856703,0.1907236854619337,0.580821609779214,0.3867735902815263,0.5032650999222182,0.3727481341924869
G02_R000,demo_primary,G02,S01,0,feedback,pair23,real,time_shift,1,raw_topk,8,0.8247083782663711,0.2583520889317023,0.4764522441116554,0.7012925406670101,0.7655566815363599,0.5737184822148326,0.5011360805588604,0.3867056494371174
G02_R001,demo_primary,G02,S01,1,feedback,pair23,real,time_shift,1,raw_topk,8,0.5966779173088533,0.4911198696500833,0.5352862185737232,0.6263197412958821,0.2298497366087408,0.4832137375375445,0.6330559927622137,0.6952437720785464
G02_R002,demo_primary,G02,S01,2,feedback,pair23,real,time_shift,1,raw_topk,8,0.1803937581279903,0.5045620642713531,0.8467785122092436,0.3723329535961889,0.3205102235776935,0.7791025593266963,0.4936984153123021,0.5512488999471633
G02_N000,demo_primary,G02,S01,0,feedback,pair23,,time_shift,0,raw_topk,8,0.3495599888202123,0.3935849431500768,0.7022026873285669,0.5743125233158751,-0.1606141927700758,0.6412915909932912,0.4679463398407094,0.3651461896214362
G02_N001,demo_primary,G02,S01,1,feedback,pair23,,time_shift,0,raw_topk,8,0.6827193922029157,0.4588765288589731,0.6325680492629505,0.0534804537880572,0.5910301181405557,0.1400790562348216,0.4852842385252947,0.4799553768875833
G02_N002,demo_primary,G02,S01,2,feedback,pair23,,time_shift,0,raw_topk,8,0.4050848803039209,0.21676884768261,0.6984373925623462,0.5616192948069402,0.6626516542572625,0.7410395467187737,0.5279177999548835,0.3532702347653269
G03_R000,demo_primary,G03,S01,0,feedback,pair23,real,time_shift,1,raw_topk,8,0.4157355306873745,0.9039339261303982,0.273098837946547,1.138330255136519,0.6642802124649051,0.6474168656095491,0.4954094493780104,0.5384094488077609
G03_R001,demo_primary,G03,S01,1,feedback,pair23,real,time_shift,1,raw_topk,8,0.808534689622296,0.6317801532739835,0.126186846783781,0.7810549877362778,1.126622350841699,0.0896143648177021,0.6206431341387394,0.5202561366448146
G03_R002,demo_primary,G03,S01,2,feedback,pair23,real,time_shift,1,raw_topk,8,0.8107497660553773,1.319951848902413,0.3440187803940085,1.0294269629794115,0.8177646167911534,0.3245409157345955,0.4477679409420931,0.654600138019532
