split_id,repeat_id,fold_id,dataset,null_task,feature_set,K,model,balanced_accuracy,auc,f1,sensitivity,specificity,kernel_alignment,separability_index,K_RR,K_NN,K_RN
fold01,1,1,demo_primary,time_shift,raw_topk,6,linear_svm,0.7916666666666667,0.8524305555555556,0.7727272727272727,,,,,,,
fold02,1,2,demo_primary,time_shift,raw_topk,6,linear_svm,0.7916666666666667,0.8142361111111112,0.75,,,,,,,
fold03,1,3,demo_primary,time_shift,raw_topk,6,linear_svm,0.8541666666666666,0.9184027777777777,0.8444444444444444,,,,,,,
fold04,1,4,demo_primary,time_shift,raw_topk,6,linear_svm,0.8541666666666666,0.9496527777777779,0.8444444444444444,,,,,,,
fold05,1,5,demo_primary,time_shift,raw_topk,6,linear_svm,0.8125,0.890625,0.8363636363636363,,,,,,,
fold01,1,1,demo_primary,time_shift,raw_topk,6,poly_svm,0.8541666666666667,0.9010416666666667,0.8571428571428571,,,,,,,
fold02,1,2,demo_primary,time_shift,raw_topk,6,poly_svm,0.8333333333333334,0.8715277777777778,0.8095238095238095,,,,,,,
fold03,1,3,demo_primary,time_shift,raw_topk,6,poly_svm,0.8333333333333333,0.9131944444444445,0.8181818181818182,,,,,,,
fold04,1,4,demo_primary,time_shift,raw_topk,6,poly_svm,0.9166666666666667,0.9618055555555555,0.9130434782608695,,,,,,,
fold05,1,5,demo_primary,time_shift,raw_topk,6,poly_svm,0.8125,0.9149305555555556,0.8363636363636363,,,,,,,
fold01,1,1,demo_primary,time_shift,raw_topk,6,rbf_svm,0.8333333333333334,0.8784722222222223,0.8333333333333334,,,,,,,
fold02,1,2,demo_primary,time_shift,raw_topk,6,rbf_svm,0.7708333333333334,0.8350694444444444,0.717948717948718,,,,,,,
fold03,1,3,demo_primary,time_shift,raw_topk,6,rbf_svm,0.8125,0.8715277777777779,0.7906976744186046,,,,,,,
fold04,1,4,demo_primary,time_shift,raw_topk,6,rbf_svm,0.8333333333333334,0.9340277777777779,0.8333333333333334,,,,,,,
fold05,1,5,demo_primary,time_shift,raw_topk,6,rbf_svm,0.8125,0.8645833333333333,0.8363636363636363,,,,,,,
